s,a,r,s'
28,3,-7,27
57,4,1,58
44,4,0,45
18,2,-5,8
9,1,5,19
47,1,7,57
73,4,0,74
29,2,5,19
8,4,5,9
71,1,-8,81
63,2,8,53
22,1,-8,32
28,3,-7,27
29,4,-10,30
19,4,5,20
36,4,-1,37
58,4,1,59
63,1,2,73
45,2,3,35
2,3,6,1
65,2,1,55
49,1,1,59
17,1,-7,27
49,3,-4,48
89,3,1,88
99,3,3,98
44,2,-6,34
3,1,-1,13
92,2,4,82
76,4,5,77
3,4,0,4
67,3,-3,66
7,4,-5,8
29,3,-7,28
31,1,2,41
44,1,8,54
25,2,-2,15
19,1,-9,29
20,1,-10,30
79,4,-9,80
41,4,4,42
72,3,-8,71
36,4,-1,37
83,4,-8,84
97,4,3,98
40,1,6,50
44,4,0,45
2,3,6,1
23,3,-8,22
68,4,3,69
25,2,-2,15
6,4,-3,7
31,2,1,21
39,1,-8,49
57,2,1,47
80,3,5,79
12,3,-8,11
81,1,-2,91
55,3,8,54
63,4,-10,64
7,4,-5,8
63,2,8,53
52,4,8,53
73,1,-1,83
47,3,2,46
95,3,3,94
100,3,5,99
53,3,-3,52
50,2,-5,40
76,4,5,77
81,2,-8,71
65,3,-10,64
39,2,-9,29
27,3,-7,26
43,3,4,42
43,4,8,44
71,1,-8,81
55,1,-10,65
48,1,1,58
45,4,2,46
20,3,5,19
60,2,6,50
93,3,1,92
72,4,2,73
18,2,-5,8
43,1,8,53
3,4,0,4
92,4,5,93
35,4,6,36
72,1,4,82
99,2,2,89
84,4,-8,85
86,3,-8,85
86,4,-2,87
78,1,1,88
83,1,5,93
32,3,6,31
58,4,1,59
29,2,5,19
71,2,1,61
24,2,3,14
17,3,-7,16
46,4,1,47
59,3,1,58
78,2,-4,68
75,4,-5,76
65,4,-3,66
68,4,3,69
72,2,7,62
30,2,5,20
6,4,-3,7
61,1,-8,71
52,2,4,42
66,3,-10,65
67,1,5,77
72,1,4,82
74,3,2,73
22,2,-1,12
31,1,2,41
66,2,0,56
22,4,4,23
77,2,8,67
54,1,-10,64
53,1,7,63
73,4,0,74
67,1,5,77
93,2,-1,83
33,4,-6,34
59,3,1,58
58,4,1,59
68,4,3,69
66,4,8,67
98,2,1,88
96,3,-4,95
15,4,-7,16
76,2,-3,66
43,4,8,44
75,4,-5,76
48,2,3,38
44,3,5,43
44,3,5,43
37,4,3,38
72,3,-8,71
96,3,-4,95
42,2,-8,32
66,3,-10,65
30,1,-5,40
13,1,4,23
47,4,-4,48
64,3,7,63
95,2,-8,85
67,3,-3,66
13,2,-10,3
57,1,8,67
5,4,5,6
67,2,7,57
53,3,-3,52
67,2,7,57
93,2,-1,83
88,3,-2,87
60,1,-6,70
48,2,3,38
62,2,-3,52
92,3,-2,91
68,1,-1,78
60,2,6,50
62,3,1,61
85,1,-4,95
57,2,1,47
35,4,6,36
30,3,-9,29
62,1,9,72
96,3,-4,95
11,4,-1,12
4,3,-10,3
90,2,-9,80
61,2,7,51
27,4,-7,28
14,1,-7,24
77,3,-5,76
33,2,4,23
50,3,-8,49
17,4,4,18
70,3,3,69
61,2,7,51
26,2,-7,16
45,2,3,35
9,1,5,19
11,4,-1,12
47,1,7,57
25,2,-2,15
77,3,-5,76
29,3,-7,28
87,4,1,88
75,4,-5,76
3,3,-5,2
25,1,3,35
61,1,-8,71
37,3,6,36
23,1,3,33
54,3,8,53
42,4,5,43
68,1,-1,78
99,3,3,98
38,2,-7,28
85,2,8,75
89,2,5,79
67,4,-4,68
12,3,-8,11
23,2,-1,13
7,4,-5,8
12,4,-1,13
28,1,3,38
40,3,9,39
39,3,3,38
80,3,5,79
12,4,-1,13
53,2,5,43
59,4,6,60
53,2,5,43
15,2,8,5
48,3,1,47
62,1,9,72
84,2,0,74
5,4,5,6
37,1,1,47
98,4,5,99
1,4,-5,2
85,2,8,75
31,1,2,41
26,2,-7,16
14,2,0,4
56,1,-3,66
96,2,2,86
97,4,3,98
100,2,-3,90
12,2,-5,2
54,2,8,44
47,3,2,46
16,3,-2,15
86,2,-5,76
58,1,-4,68
44,1,8,54
64,4,-10,65
22,2,-1,12
86,4,-2,87
4,1,3,14
83,1,5,93
70,1,-9,80
74,4,8,75
72,4,2,73
57,3,0,56
68,1,-1,78
10,1,5,20
46,3,0,45
26,4,-7,27
86,3,-8,85
85,3,-8,84
93,3,1,92
20,1,-10,30
77,2,8,67
72,4,2,73
32,1,4,42
65,2,1,55
63,3,7,62
91,2,-8,81
71,4,9,72
5,4,5,6
4,1,3,14
95,2,-8,85
13,4,3,14
18,2,-5,8
96,2,2,86
58,4,1,59
79,4,-9,80
45,4,2,46
85,1,-4,95
80,1,-3,90
25,3,-7,24
92,4,5,93
8,1,4,18
35,3,-6,34
42,1,-3,52
78,2,-4,68
70,1,-9,80
29,1,9,39
27,4,-7,28
18,1,-7,28
75,1,-8,85
15,3,3,14
92,4,5,93
40,1,6,50
42,3,2,41
39,1,-8,49
72,3,-8,71
31,2,1,21
77,1,-2,87
49,3,-4,48
35,1,0,45
18,2,-5,8
42,2,-8,32
95,3,3,94
100,3,5,99
69,2,1,59
67,3,-3,66
19,1,-9,29
100,3,5,99
55,1,-10,65
54,4,1,55
88,4,2,89
51,1,1,61
42,3,2,41
45,2,3,35
63,4,-10,64
8,1,4,18
72,1,4,82
88,3,-2,87
9,1,5,19
58,4,1,59
53,4,8,54
60,1,-6,70
65,2,1,55
44,3,5,43
20,2,-9,10
69,1,5,79
51,1,1,61
89,2,5,79
72,2,7,62
93,3,1,92
46,2,6,36
19,2,5,9
29,3,-7,28
61,4,7,62
18,2,-5,8
28,4,-9,29
7,1,-4,17
88,2,-1,78
94,4,-4,95
89,4,-3,90
68,2,1,58
80,2,-6,70
27,3,-7,26
47,1,7,57
85,4,2,86
92,4,5,93
21,4,-8,22
24,4,5,25
3,4,0,4
4,4,8,5
63,2,8,53
77,1,-2,87
47,2,-1,37
85,4,2,86
30,2,5,20
78,4,5,79
16,2,5,6
82,3,-8,81
52,1,7,62
62,2,-3,52
59,2,-8,49
18,3,-4,17
85,1,-4,95
22,4,4,23
75,2,-10,65
65,4,-3,66
29,3,-7,28
28,1,3,38
64,1,0,74
8,3,-3,7
65,1,8,75
95,4,-1,96
51,2,2,41
69,4,-6,70
95,4,-1,96
25,4,-7,26
54,2,8,44
56,1,-3,66
56,3,1,55
16,3,-2,15
93,4,3,94
16,4,-4,17
59,3,1,58
91,4,1,92
27,4,-7,28
75,2,-10,65
90,1,-6,100
80,2,-6,70
